Date,ABEV3.SA,ALOS3.SA,ALPA4.SA,ARZZ3.SA,ASAI3.SA,AZUL4.SA,B3SA3.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BBSE3.SA,BEEF3.SA,BPAC11.SA,BRAP4.SA,BRFS3.SA,BRKM5.SA,CCRO3.SA,CIEL3.SA,CMIG4.SA,CMIN3.SA,COGN3.SA,CPFE3.SA,CPLE6.SA,CRFB3.SA,CSAN3.SA,CSNA3.SA,CVCB3.SA,CYRE3.SA,DXCO3.SA,EGIE3.SA,ELET3.SA,ELET6.SA,EMBR3.SA,ENEV3.SA,ENGI11.SA,EQTL3.SA,EZTC3.SA,FLRY3.SA,GGBR4.SA,GOAU4.SA,HAPV3.SA,HYPE3.SA,IGTI11.SA,IRBR3.SA,ITSA4.SA,ITUB4.SA,JBSS3.SA,KLBN11.SA,LREN3.SA,LWSA3.SA,MGLU3.SA,MRFG3.SA,MRVE3.SA,MULT3.SA,NTCO3.SA,PCAR3.SA,PETR3.SA,PETR4.SA,PETZ3.SA,PRIO3.SA,QUANTIDADE TE�RICA TOTAL.SA,RADL3.SA,RAIL3.SA,RAIZ4.SA,RDOR3.SA,RECV3.SA,REDUTOR.SA,RENT3.SA,RRRP3.SA,SANB11.SA,SBSP3.SA,SLCE3.SA,SMTO3.SA,SOMA3.SA,SUZB3.SA,TAEE11.SA,TIMS3.SA,TOTS3.SA,TRPL4.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VAMO3.SA,VBBR3.SA,VIVA3.SA,VIVT3.SA,WEGE3.SA,YDUQ3.SA
2000-01-03 00:00:00,,,,,,,,1029600,360648,,,,,5252000000,3600,30400,,,1172481,,,0,2964832,,,1461600,,0,,,2336,,1121444,,,,,,1210000,150000,,,,,12526017,,,,,,,,,,,,3998720000,35389440000,,,,,,,,,,,,,2536,,,,,,,,331233,,571500,585600,,,,98,378560,
2000-01-04 00:00:00,,,,,,,,628200,2262249,,,,,5428000000,7560,167200,,,1311940,,,1904,4316211,,,1504800,,0,,,1374,,1432068,,,,,,8990000,190000,,,,,14701920,,,,0.0,,,,,,,,3098880000,28861440000,,,,,,,,,,,,,2432,,,,,,,,345634,,1121400,782400,,,,228,47320,
2000-01-05 00:00:00,985.0,,,,,,,957600,1967173,,,,,8328000000,0,51200,,,1664644,,,0,3023849,,,1116000,,0,,,1625,,1100888,,,,,,9920000,1870000,,,,,11159466,,,,0.0,,,,,,,,6645760000,43033600000,,,,,,,,,,,,,6675,,,,,,,,197519,,1602450,1876800,,,,120,0,
2000-01-06 00:00:00,227.0,,,,,,,410400,2885188,,,,,12508000000,23400,47200,,,1970123,,,0,3209901,,,2210400,,0,,,1539,,523036,,,,,,12310000,2700000,,,,,28115764,,,,0.0,,,,,,,,3303680000,34055680000,,,,0.0,,,,,,,,,2989,,,,,,,,115811,,3084300,792000,,,,123,250120,
2000-01-07 00:00:00,151.0,,,,,,,788400,2360608,,,,,3200000000,49320,173600,,,1373183,,,6135,1814509,,,17690400,,0,,,1337,,480782,,,,,,24570000,1710000,,,,,13659848,,,,0.0,,,,,,,,2506240000,20912640000,,,,0.0,,,,,,,,,2025,,,,,,,,101310,,2871000,5347200,,,,266,135200,
2000-01-10 00:00:00,1516.0,,,,,,,1098000,2819615,,,,,5312000000,74520,46400,,,1589380,,,8251,4867366,,,4406400,,0,,,2186,,432818,,,,,,11570000,5210000,,,,,13375714,,,,0.0,,,,,,,,2247680000,19563520000,,,,0.0,,,,,,,,,6138,,,,,,,,202220,,4137750,2980800,,,,561,0,
2000-01-11 00:00:00,3791.0,,,,,,,1285200,4065492,,,,,4568000000,0,31200,,,3105712,,,6135,3316931,,,4881600,,0,,,1525,,268370,,,,,,4410000,1640000,,,,,9104351,,,,0.0,,,,,,,,1834240000,23987200000,,,,0.0,,,,,,,,,1975,,,,,,,,72707,,3211650,326400,,,,327,1568320,
2000-01-12 00:00:00,1137.0,,,,,,,1168200,2491753,,,,,10060000000,0,39200,,,1435533,,,0,2026569,,,12024000,,0,,,940,,447664,,,,,,4530000,2150000,,,,,5056360,,,,0.0,,,,,,,,3682560000,23301120000,,,,0.0,,,,,,,,,2699,,,,,,,,78507,,4891050,5068800,,,,425,2109120,
2000-01-13 00:00:00,606.0,,,,,,,1103400,8262129,,,,,14760000000,0,85600,,,4633111,,,0,1354380,,,1188000,,0,,,712,,425966,,,,,,3280000,1510000,,,,,12836720,,,,0.0,,,,,,,,1482240000,26383360000,,,,0.0,,,,,,,,,3477,,,,,,,,100410,,1505250,120000,,,,173,1237080,
2000-01-14 00:00:00,6445.0,,,,,,,496800,13475140,,,,,13356000000,0,101600,,,3222296,,,0,1955549,,,8827200,,0,,,1813,,422540,,,,,,5290000,1030000,,,,,13002280,,,,0.0,,,,,,,,1480960000,16657920000,,,,0.0,,,,,,,,,1812,,,,,,,,148814,,2822400,3484800,,,,377,2345720,
2000-01-17 00:00:00,25556.0,,,,,,,298800,3016333,,,,,6656000000,0,52800,,,786204,,,0,934262,,,1411200,,32000,,,737,,278648,,,,,,2970000,1760000,,,,,6268420,,,,0.0,,,,,,,,744960000,16573440000,,,,0.0,,,,,,,,,2265,,,,,,,,101010,,2023650,230400,,,,328,67600,
2000-01-18 00:00:00,0.0,,,,,,,612000,8655564,,,,,13572000000,0,48000,,,1969386,,,0,1539432,,,2016000,,0,,,1209,,485350,,,,,,7390000,690000,,,,,7717628,,,,0.0,,,,,,,,942080000,17925120000,,,,0.0,,,,,,,,,1808,,,,,,,,88908,,1807650,3724800,,,,476,128440,
2000-01-19 00:00:00,0.0,,,,,,,210600,3147478,,,,,8264000000,144000,26400,,,1062907,,,0,1222343,,,2901600,,0,,,1696,,847364,,,,,,3340000,3050000,,,,,6335579,,,,0.0,,,,,,,,2808320000,38883840000,,,,0.0,,,,,,,,,998,,,,,,,,73507,,2295000,1872000,,,,374,155480,
2000-01-20 00:00:00,0.0,,,,,,,689400,1540952,,,,,6012000000,0,128000,,,1276522,,,0,1459409,,,1627200,,1160000,,,2844,,427108,,,,,,2750000,310000,,,,,5344922,,,,0.0,,,,,,,,2941440000,26268160000,,,,0.0,,,,,,,,,2768,,,,,,,,54805,,1899000,748800,,,,229,277160,
2000-01-21 00:00:00,0.0,,,,,,,316800,2950760,,,,,7140000000,0,37600,,,1028227,,,0,1211340,,,21060000,,0,,,2400,,440812,,,,,,5460000,1610000,,,,,4526468,,,,0.0,,,,,,,,2664960000,17512960000,,,,0.0,,,,,,,,,3244,,,,,,,,73407,,883800,144000,,,,250,27040,
2000-01-24 00:00:00,0.0,,,,,,,1794600,1114731,,,,,5016000000,0,25600,,,965139,,,0,1526428,,,2023200,,16000,,,1412,,532172,,,,,,1710000,1130000,,,,,3001245,,,,0.0,,,,,,,,1530880000,18385920000,,,,0.0,,,,,,,,,4632,,,,,,,,130613,,909450,705600,,,,44,60840,
2000-01-25 00:00:00,0.0,,,,,,,0,0,,,,,0,0,0,,,0,,,0,0,,,0,,0,,,0,,0,,,,,,0,0,,,,,0,,,,0.0,,,,,,,,0,0,,,,0.0,,,,,,,,,0,,,,,,,,0,,0,0,,,,0,0,
2000-01-26 00:00:00,1744.0,,,,,,,293400,3081905,,,,,9116000000,0,145600,,,1125995,,,0,939263,,,2232000,,0,,,1117,,440812,,,,,,5370000,170000,,,,,8891804,,,,0.0,,,,,,,,4638720000,25917440000,,,,0.0,,,,,,,,,3363,,,,,,,,98609,,777150,196800,,,,236,3549000,
2000-01-27 00:00:00,5384.0,,,,,,,405000,4196637,,,,,7376000000,0,96000,,,843758,,,8251,2246630,,,2793600,,0,,,1103,,1030084,,,,,,7850000,510000,,,,,4855129,,,,0.0,,,,,,,,3141120000,38379520000,,,,0.0,,,,,,,,,1332,,,,,,,,39603,,1012050,686400,,,,276,223080,
2000-01-28 00:00:00,0.0,,,,,,,1071000,3016333,,,,,8648000000,0,63200,,,710203,,,0,2080584,,,1814400,,0,,,1830,,669212,,,,,,1750000,30000,,,,,5078746,,,,0.0,,,,,,,,1509120000,17894400000,,,,0.0,,,,,,,,,1630,,,,,,,,158015,,668700,211200,,,,203,101400,
2000-01-31 00:00:00,0.0,,,,,,,572400,524579,,,,,9912000000,72000,28800,,,1111238,,,0,2642742,,,6976800,,8000,,,1660,,1195674,,,,,,4140000,340000,,,,,6872359,,,,0.0,,,,,,,,1182720000,32266240000,,,,0.0,,,,,,,,,944,,,,,,,,78507,,786150,0,,,,206,4961840,
2000-02-01 00:00:00,0.0,,,,,,,554400,2196677,,,,,10520000000,360,9600,,,1521127,,,0,3848080,,,8028000,,0,,,1116,,566432,,,,,,12710000,710000,,,,,11501657,,,,0.0,,,,,,,,1694720000,23672320000,,,,0.0,,,,,,,,,2856,,,,,,,,93109,,707400,148800,,,,176,5495880,
2000-02-02 00:00:00,0.0,,,,,,,153000,360648,,,,,4972000000,0,60800,,,559308,,,0,530148,,,5925600,,24000,,,505,,540166,,,,,,8200000,230000,,,,,1782296,,,,0.0,,,,,,,,2019840000,14272000000,,,,0.0,,,,,,,,,1447,,,,,,,,73307,,468900,739200,,,,353,0,
2000-02-03 00:00:00,0.0,,,,,,,277200,1639311,,,,,9112000000,72720,16800,,,3453988,,,0,2307647,,,22989600,,0,,,2671,,633810,,,,,,10580000,1090000,,,,,13138812,,,,0.0,,,,,,,,4190720000,25950720000,,,,0.0,,,,,,,,,1486,,,,,,,,54505,,668250,4382400,,,,409,2028000,
2000-02-04 00:00:00,227.0,,,,,,,509400,1901601,,,,,8808000000,0,17600,,,8303666,,,0,5576565,,,5947200,,0,,,3216,,396274,,,,,,3170000,1730000,,,,,12282227,,,,0.0,,,,,,,,2465280000,21199360000,,,,0.0,,,,,,,,,1597,,,,,,,,113911,,2007000,345600,,,,308,0,
2000-02-07 00:00:00,4550.0,,,,,,,642600,9409647,,,,,5876000000,0,9600,,,13891957,,,0,2003562,,,7423200,,0,,,922,,770850,,,,,,3580000,920000,,,,,9938550,,,,0.0,,,,,,,,2449920000,20613120000,,,,0.0,,,,,,,,,1939,,,,,,,,73307,,2585700,81600,,,,319,0,
2000-02-08 00:00:00,1895.0,,,,,,,2721600,3540912,,,,,8536000000,60480,86400,,,13153713,,,0,3162888,,,7459200,,0,,,1826,,682916,,,,,,8250000,4010000,,,,,9334611,,,,0.0,,,,,,,,7100160000,31498240000,,,,0.0,,,,,,,,,2870,,,,,,,,597659,,3021300,1036800,,,,209,1392560,
