Date,BBAS3.SA,BBDC3.SA,BRAP4.SA,BRFS3.SA,BRKM5.SA,CMIG4.SA,CPFE3.SA,CPLE6.SA,CSNA3.SA,CYRE3.SA,ELET3.SA,EMBR3.SA,GGBR4.SA,GOAU4.SA,ITSA4.SA,PETR3.SA,PETR4.SA,SBSP3.SA,TRPL4.SA,USIM5.SA,VALE3.SA,VIVT3.SA,WEGE3.SA
2000-01-03 00:00:00,1029600,360648,5252000000,3600,30400,1172481,0,2964832,1461600,0,2336,1121444,1210000,150000,12526017,3998720000,35389440000,2536,331233,571500,585600,98,378560
2000-01-04 00:00:00,628200,2262249,5428000000,7560,167200,1311940,1904,4316211,1504800,0,1374,1432068,8990000,190000,14701920,3098880000,28861440000,2432,345634,1121400,782400,228,47320
2000-01-05 00:00:00,957600,1967173,8328000000,0,51200,1664644,0,3023849,1116000,0,1625,1100888,9920000,1870000,11159466,6645760000,43033600000,6675,197519,1602450,1876800,120,0
2000-01-06 00:00:00,410400,2885188,12508000000,23400,47200,1970123,0,3209901,2210400,0,1539,523036,12310000,2700000,28115764,3303680000,34055680000,2989,115811,3084300,792000,123,250120
2000-01-07 00:00:00,788400,2360608,3200000000,49320,173600,1373183,6135,1814509,17690400,0,1337,480782,24570000,1710000,13659848,2506240000,20912640000,2025,101310,2871000,5347200,266,135200
2000-01-10 00:00:00,1098000,2819615,5312000000,74520,46400,1589380,8251,4867366,4406400,0,2186,432818,11570000,5210000,13375714,2247680000,19563520000,6138,202220,4137750,2980800,561,0
2000-01-11 00:00:00,1285200,4065492,4568000000,0,31200,3105712,6135,3316931,4881600,0,1525,268370,4410000,1640000,9104351,1834240000,23987200000,1975,72707,3211650,326400,327,1568320
2000-01-12 00:00:00,1168200,2491753,10060000000,0,39200,1435533,0,2026569,12024000,0,940,447664,4530000,2150000,5056360,3682560000,23301120000,2699,78507,4891050,5068800,425,2109120
2000-01-13 00:00:00,1103400,8262129,14760000000,0,85600,4633111,0,1354380,1188000,0,712,425966,3280000,1510000,12836720,1482240000,26383360000,3477,100410,1505250,120000,173,1237080
2000-01-14 00:00:00,496800,13475140,13356000000,0,101600,3222296,0,1955549,8827200,0,1813,422540,5290000,1030000,13002280,1480960000,16657920000,1812,148814,2822400,3484800,377,2345720
2000-01-17 00:00:00,298800,3016333,6656000000,0,52800,786204,0,934262,1411200,32000,737,278648,2970000,1760000,6268420,744960000,16573440000,2265,101010,2023650,230400,328,67600
2000-01-18 00:00:00,612000,8655564,13572000000,0,48000,1969386,0,1539432,2016000,0,1209,485350,7390000,690000,7717628,942080000,17925120000,1808,88908,1807650,3724800,476,128440
2000-01-19 00:00:00,210600,3147478,8264000000,144000,26400,1062907,0,1222343,2901600,0,1696,847364,3340000,3050000,6335579,2808320000,38883840000,998,73507,2295000,1872000,374,155480
2000-01-20 00:00:00,689400,1540952,6012000000,0,128000,1276522,0,1459409,1627200,1160000,2844,427108,2750000,310000,5344922,2941440000,26268160000,2768,54805,1899000,748800,229,277160
2000-01-21 00:00:00,316800,2950760,7140000000,0,37600,1028227,0,1211340,21060000,0,2400,440812,5460000,1610000,4526468,2664960000,17512960000,3244,73407,883800,144000,250,27040
2000-01-24 00:00:00,1794600,1114731,5016000000,0,25600,965139,0,1526428,2023200,16000,1412,532172,1710000,1130000,3001245,1530880000,18385920000,4632,130613,909450,705600,44,60840
2000-01-25 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000-01-26 00:00:00,293400,3081905,9116000000,0,145600,1125995,0,939263,2232000,0,1117,440812,5370000,170000,8891804,4638720000,25917440000,3363,98609,777150,196800,236,3549000
2000-01-27 00:00:00,405000,4196637,7376000000,0,96000,843758,8251,2246630,2793600,0,1103,1030084,7850000,510000,4855129,3141120000,38379520000,1332,39603,1012050,686400,276,223080
2000-01-28 00:00:00,1071000,3016333,8648000000,0,63200,710203,0,2080584,1814400,0,1830,669212,1750000,30000,5078746,1509120000,17894400000,1630,158015,668700,211200,203,101400
2000-01-31 00:00:00,572400,524579,9912000000,72000,28800,1111238,0,2642742,6976800,8000,1660,1195674,4140000,340000,6872359,1182720000,32266240000,944,78507,786150,0,206,4961840
