Data,Notícia
2024-09-06,Dados de emprego nos EUA impulsionam dólar; Ibovespa fecha em queda
2024-09-06,"Ibovespa tem maior queda desde junho, após dado de empregos nos EUA"
2024-09-06,"Ibovespa fecha em queda e dólar sobe, sem consenso sobre Fed"
2024-09-06,"Ibovespa hoje: índice opera nas mínimas com mau humor em NY e queda de 
ações de peso – Tempo Real – Estadão E-Investidor – As principais notícias 
do mercado financeiro"
2024-09-06,"Ibovespa despenca após dados de emprego nos EUA; Vale (VALE3) e Petrobras 
(PETR4) recuam"
2024-09-06,"Com mau humor global, Ibovespa cai 1,41% e perde 1,05% na semana; dólar sobe"
2024-09-06,"Ibovespa fecha em queda de 1,41% com números fracos de emprego nos EUA"
2024-09-06,"Ibovespa cede à pressão de Wall Street com dado de emprego mais fraco e 
acumula baixa de 1% na semana; dólar sobe a R$ 5,59"
2024-09-06,Ibovespa segue NY e fecha em queda após dados de emprego dos EUA; dólar sobe
2024-09-06,"Ibovespa recua após dados do payroll dos EUA e queda nas ações da Vale 
(VALE3)"
2024-09-05,"Ibovespa fecha com nova alta, puxada por Vale, bancos e varejo"
2024-09-05,Ibovespa fecha em alta com Vale (VALE3) e grandes bancos; dólar despenca
2024-09-05,"Ibovespa abre estável em 136.111 pontos; dólar cai 0,41%"
2024-09-05,"Dólar cai a R$ 5,57, de olho em dados da economia dos EUA; Ibovespa sobe"
2024-09-05,"Ibovespa subiu 0,30% no último fechamento"
2024-09-05,Ibovespa fecha em alta e dólar cai mais de 1%
2024-09-05,"Ibovespa tem leve alta e mantém os 136 mil; dólar cai mais de 1% e fecha a 
R$ 5,57 com dados nos EUA"
2024-09-05,Ibovespa sobe com investidores de olho em Vale e dados de emprego dos EUA
2024-09-05,"Ibovespa hoje: índice fecha em alta com avanço de ações cíclicas antes de 
payroll – Tempo Real – Estadão E-Investidor – As principais notícias do 
mercado financeiro"
2024-09-05,Ibovespa mostra indefinição com EUA no radar
2024-09-04,Ibovespa fecha com maior alta diária em um mês; apenas oito ativos recuam
2024-09-04,"Ibovespa fecha em alta, com fiscal e dados dos EUA no radar; dólar tem leve 
queda"
2024-09-04,Ibovespa interrompe 4 quedas e tem 1ª alta em setembro
2024-09-04,"Ibovespa sobe mais de 1% e volta a se aproximar de nível recorde com 
Embraer (EMBR3); dólar tem leve queda a R$ 5,63"
2024-09-04,"Ibovespa sobe 0,85% aos 135.490 pontos; dólar cai 0,05%"
2024-09-04,"Ibovespa subiu 1,30% no último fechamento"
