,ABEV3.SA,ALPA4.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BEEF3.SA,BRAP4.SA,BRFS3.SA,BRKM5.SA,CCRO3.SA,CMIG4.SA,CPFE3.SA,CPLE6.SA,CSAN3.SA,CSNA3.SA,CYRE3.SA,DXCO3.SA,EGIE3.SA,ELET3.SA,ELET6.SA,EMBR3.SA,ENEV3.SA,ENGI11.SA,EQTL3.SA,EZTC3.SA,FLRY3.SA,GGBR4.SA,GOAU4.SA,HYPE3.SA,ITSA4.SA,ITUB4.SA,JBSS3.SA,LREN3.SA,MRFG3.SA,MRVE3.SA,MULT3.SA,PCAR3.SA,PETR3.SA,PETR4.SA,PRIO3.SA,RADL3.SA,RENT3.SA,SANB11.SA,SBSP3.SA,SLCE3.SA,SMTO3.SA,SUZB3.SA,TAEE11.SA,TIMS3.SA,TOTS3.SA,TRPL4.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VIVT3.SA,WEGE3.SA,YDUQ3.SA
2017-01-04,0.047066104453759486,0.004200545095304845,1.3319971884050462e-12,2.639939357945839e-12,2.0899292914769214e-12,0.0032263609767598403,1.2257746215144566e-12,0.03008216739040311,0.0037719542504182236,3.868980459561481e-12,1.2099429988329593e-12,7.226085356430609e-12,1.6590494102503647e-12,4.737460187693557e-12,5.878628594981717e-13,3.586399965821065e-12,8.06415922392756e-12,9.787075282933821e-11,2.6805621164530873e-12,9.738397780396577e-12,0.0226354493572601,0.002164451123284447,0.07747040909118853,0.013094488281559985,5.804779111753501e-12,0.033330494654381454,1.820789314492447e-12,9.556403558296739e-13,0.002101847128524086,3.843748051928514e-12,2.735355609362143e-12,4.453321403130418e-12,2.578147741292151e-12,7.690104053763077e-12,1.232038069451575e-11,6.783155711795278e-12,0.2999999999985237,7.524150030914657e-13,8.305119870613056e-13,3.5082662514118053e-12,0.007294474668025692,4.109835434211119e-12,1.813811246090983e-12,4.022783469656823e-12,0.03316142342220662,0.028502932191353213,0.29999999999888854,0.025366737536858575,7.110280975055788e-12,8.29921293861528e-12,0.025409129090326513,0.014506458801454665,1.0760329310657095e-12,1.2849623013324164e-12,0.009951390746999945,0.015567980632457979,0.0010952008797496555
2017-01-19,0.055029865849366574,0.00368173030970224,4.926187460680749e-12,1.0393064413519392e-11,8.675047649073408e-12,0.0040002013272729025,4.863819248985861e-12,0.024936602296594654,0.0033183610732455382,1.3188780742000027e-11,4.077686707070232e-12,3.471078878230488e-11,6.551205466456929e-12,2.2175436248644195e-11,2.3365811319846177e-12,1.312877352291666e-11,1.3057427774781093e-11,0.003500402638460913,8.844997649068077e-12,2.623138734735231e-11,0.020577350859564688,0.003215128521642109,0.06956626333760131,0.014211714308962627,2.1119637470051455e-11,0.035527763410911774,8.015468344786313e-12,4.047235198214371e-12,0.0008135324093272789,1.3845171795674935e-11,1.0025000906867799e-11,1.6686074651723185e-11,9.113370255741525e-12,3.1599355169915753e-11,5.569215628152424e-11,1.9352301480998902e-11,0.2999999999945416,3.0617156664688844e-12,3.307225104922427e-12,1.0520053275159953e-11,0.008010804273136206,1.3064335177257363e-11,6.220157997588155e-12,1.2827957951471997e-11,0.031213649215537986,0.025544910975251946,0.29999999999517774,0.026273470204800108,3.037428218896763e-11,2.2349729465090142e-11,0.028684773024910928,0.017305731847636167,4.227058304134248e-12,5.072014225055557e-12,0.010798317772226132,0.01347340944581901,0.00031601643462822
2017-02-03,0.05303691836914249,0.005908332410428376,6.97209639965118e-14,1.722160379347805e-13,1.6216136524234745e-13,0.007874947135473194,9.850883129312364e-14,0.020631326926933417,0.0070374018849236695,2.2006604253928683e-13,8.196791364815085e-14,4.362883336331913e-13,1.3602406635481257e-13,6.844075410952494e-13,4.958575058176073e-14,2.987690969751501e-13,1.8100097557302192e-13,0.01388050770901668,1.457324862538052e-13,2.4748338989923707e-13,0.020968296803314777,0.004972892222722717,0.058144579103568114,0.027111496875977078,4.3552916487066393e-13,0.030144584275882368,1.8255701252480014e-13,8.714125055412281e-14,0.012819683921372317,2.7047612526644804e-13,2.1217389308387201e-13,2.482568413782329e-13,2.1864559744076934e-13,5.785483438246877e-13,1.2765310273463043e-12,3.7144449972796825e-13,0.29999999999882376,5.798004005144038e-14,6.21986812202705e-14,4.2237641330902875e-13,0.00914528468952371,2.3098268605590434e-13,1.14247565832699e-13,2.1001732634851414e-13,0.027079595983242756,0.024691683944360304,0.2999999999999164,0.024686007435138924,7.225407185286374e-13,5.442101343025932e-13,0.021321157879239886,0.01089402415065802,9.533303730081447e-14,1.238491703337815e-13,0.011934813760466874,0.007716464509871526,5.536302981152018e-13
2017-02-20,0.054886323024819175,0.0034384907782253013,5.51027376582793e-14,1.4246556704964552e-13,1.2957624435283225e-13,0.007996667624374107,7.941445193633456e-14,0.013876925647362856,0.007369852030200177,1.850184070546593e-13,6.646941964035266e-14,6.550660937426447e-13,1.2969705035449426e-13,8.605369772243951e-13,4.3645198901180456e-14,2.8922318091013335e-13,1.5851169124014065e-13,0.010310245383978322,1.39032894964293e-13,3.062242683590067e-13,0.021011521196038333,0.004885932460615088,0.064991916279827,0.03249127300916907,3.5116237744925554e-13,0.031053860882407757,1.7135584509065185e-13,8.050936674049693e-14,0.012373412429775625,2.1449620435936883e-13,1.6428295578585312e-13,2.2601826285728764e-13,1.7869326753144778e-13,9.336621177256084e-13,1.9221379521920918e-12,3.481886084804198e-13,0.2999999999995827,5.3657816432481976e-14,5.798417344434365e-14,3.9976024583027795e-13,0.007809703463959485,1.5907951257545606e-13,8.883377079953508e-14,1.7803007753801647e-13,0.027737530455363632,0.023042866620807276,0.2999999999999323,0.02597064782921775,9.135885640666966e-13,4.2874648364985947e-13,0.015534039889411076,0.015310683888607311,9.38955189361488e-14,9.620899580737756e-14,0.01071611942389512,0.009191987671774223,3.5588666943184275e-13
2017-03-07,0.05076300243494298,0.0019690167729307538,1.9229691523890316e-13,5.29037516455604e-13,4.760712926813043e-13,0.007171433905116335,2.4964576465764775e-13,0.014685398968335253,0.004521461529644552,6.267464490088384e-13,2.523121202755783e-13,2.7798940787610147e-12,4.278486784546694e-13,2.245921660758249e-12,1.4527935379741112e-13,1.0302998551925302e-12,5.575244568546201e-13,0.013370316553268057,4.59661350754886e-13,8.644947414436544e-13,0.022720423387310933,0.005695816169879361,0.060301880562890195,0.03160496983912557,1.0482876173681861e-12,0.036016482421413594,5.298831718114426e-13,2.6975412008207743e-13,0.013453111835380316,7.093856068913325e-13,5.810497343959206e-13,8.779751619776487e-13,5.515911603654253e-13,2.1272615961386034e-12,4.275142242419421e-12,1.1898622244565201e-12,0.2999999999964578,1.9039470703925175e-13,2.0155286981388662e-13,1.3546503000129977e-12,0.00917822838098564,5.130080120356464e-13,3.291486369050444e-13,6.02188608598438e-13,0.02739808190123088,0.025941551377174358,0.299999999999746,0.023919770839608775,2.3531135212069927e-12,1.5185569544548404e-12,0.016253415715652773,0.016386330885983128,2.756219431531576e-13,2.9664771604282445e-13,0.011185062295572798,0.007464244195086182,1.631597944123271e-12
2017-03-22,0.05683515664526062,0.002851491181789125,1.1758130811535767e-13,3.119745645606587e-13,2.888031570584311e-13,0.007918273320367078,1.3186504322235327e-13,0.014720744379669888,6.73304069787361e-12,3.1973249709860354e-13,1.1901603473022645e-13,2.2137939481302106e-12,1.9791593325756737e-13,1.4936206691477596e-12,7.85008744146264e-14,6.034399779034804e-13,3.286367927031837e-13,0.01764384270191702,2.7653418091546726e-13,6.07464539786309e-13,0.024886524388783818,0.004777646045292384,0.060284432988883314,0.030635105576418922,6.602530078526296e-13,0.0349734208583455,2.74606285349509e-13,1.6228017242433458e-13,0.0126328900386741,4.655675462976166e-13,3.4849846958557657e-13,3.4537748210031067e-13,2.771140580819728e-13,8.423048489543408e-13,2.837717969493347e-12,6.703102043647162e-13,0.29999999999860744,1.0580016786140381e-13,1.1216031280166648e-13,1.187841906429351e-12,0.010975740494392278,2.823858997124065e-13,1.8644996527746533e-13,2.7142815784044303e-13,0.026878143738986938,0.025239260372454487,0.2999999999998731,0.021839773102839473,1.3412495690993884e-12,7.424496711835791e-13,0.015201517865405807,0.017167513224901374,1.5606978699128396e-13,1.591869503807602e-13,0.010597931748278396,0.003940591302664578,9.43409296536834e-13
2017-04-06,0.05532456802357766,0.0057472132558167265,1.9997852067455765e-13,4.990885338960575e-13,4.109099228639733e-13,0.00992193718431164,1.927753464557399e-13,0.013995431953429787,4.769328931122493e-12,4.547562051003841e-13,1.7544952799622905e-13,6.7160325302185074e-12,2.7485898808361613e-13,1.6494716716579157e-12,1.0923034892355408e-13,5.769317630429975e-13,4.010541883474574e-13,0.021158027357042426,4.331181791237594e-13,1.178691421753252e-12,0.02664502687274536,0.0034709491284624612,0.057440854929280145,0.027323591077124385,9.750825335933198e-13,0.03416825682867797,4.1421964245070067e-13,2.3041488660277487e-13,0.01291079931806553,6.41980227452925e-13,4.98861224690464e-13,5.544695083133086e-13,4.283108759186542e-13,1.7395079265262088e-12,4.642990117475732e-12,8.855316657371104e-13,0.2999999999986446,1.5513813237937673e-13,1.6290514134216815e-13,1.737144609056591e-12,0.008682116823883899,3.779902707421155e-13,2.854597449121968e-13,4.424169683881912e-13,0.02748063028045305,0.026088343037299035,0.2999999999998046,0.02410202684297197,1.8474048697008915e-12,9.613852850947944e-13,0.0163731526466133,0.015593522001655383,2.32999048636233e-13,2.2506536527386107e-13,0.008267268213673596,0.0053062841899482495,1.0373071456971494e-12
2017-05-08,0.10318772661909659,0.00551839548316388,2.494625266802701e-13,6.119047909419025e-13,4.4265618312798895e-13,0.01918019038466427,2.0506804940436376e-13,0.014179947581220556,7.038319395224923e-11,5.465961650693352e-13,1.9128228742253565e-13,0.01609682137382804,3.06064178668132e-13,1.1464440414190606e-12,1.289214536339031e-13,7.878123543229662e-13,6.453096223108157e-13,0.03999104261366206,4.1141345932874517e-13,9.340464118362003e-13,0.041816421215805775,0.007490951889838703,0.08797175591511718,0.030246163293740125,1.1079291262098383e-12,0.044670874064542204,4.121695213304004e-13,2.3855687495373075e-13,0.010633493218546763,8.797947016515136e-13,6.185711960726193e-13,7.274611061786018e-13,6.033060132912516e-13,3.3584995012567256e-12,3.009066380998628e-12,1.1255766995886845e-12,0.06359633174889508,2.097369768026907e-13,2.1667875006361377e-13,3.6024675308652036e-12,0.016508655387628066,6.702553488727283e-13,3.183505113706563e-13,5.204072292157177e-13,0.050958292568569395,0.046895694949537214,0.2999999999997245,0.041729674836298414,1.726612004389046e-12,1.704760521588697e-12,0.022996545286679642,0.021728874530196857,2.154945639947961e-13,2.4189746694225414e-13,0.013622537154996351,0.0009796097818846137,3.8660429965866235e-12
2017-05-23,0.11135751467309202,0.007047292232782478,2.339845895702556e-12,5.4615618709131485e-12,4.480062027224878e-12,0.028489250602551683,2.1256195801080553e-12,0.009537191573435853,0.001278444004487272,5.119160978787122e-12,1.8830244059605846e-12,0.014183714882602725,2.74454944527632e-12,8.079594521049837e-12,1.2312858060506597e-12,6.29238275083114e-12,6.888168704998887e-12,0.06805934324629537,3.5590101608906736e-12,7.372011019961954e-12,0.03539055948574808,0.006624102319972023,0.09022616868377309,0.036135718452381844,8.289546455631907e-12,0.043718875695250146,3.66881911488163e-12,2.252984877783079e-12,0.008086880884538053,7.65389549522421e-12,5.7842838792994185e-12,5.758003165156915e-12,4.708188795795877e-12,2.2359438685676696e-11,2.7521341727412363e-11,1.1151324275838798e-11,0.029398825980846734,1.989922821256476e-12,2.0012860755148077e-12,0.0003280463564448886,0.0069632280627400355,6.163074192152909e-12,3.366637765708696e-12,4.7659232485340435e-12,0.0514520487796201,0.04533935431794467,0.29999999999713967,0.039004331267497805,3.75624925986116e-11,1.6724934867522876e-11,0.015953976475279543,0.027540677701459033,1.9599439534969736e-12,2.6115981598554e-12,0.01670548926092409,0.0071789647432451194,8.607778343305756e-11
2017-06-07,0.13480642117370883,0.009933766573287444,1.3379292379987561e-13,3.4871778619205174e-13,2.908129085332462e-13,0.02990220977309173,1.3765709592807796e-13,1.182572758617853e-09,0.0021089802246108884,2.8837211354152765e-13,1.1075177703493689e-13,0.022790335023950718,1.711268375096681e-13,4.804297891033604e-13,7.685354507514104e-14,4.036578625602777e-13,3.8328331076020673e-13,0.053241268492362846,1.8441512169487e-13,3.7146387049270115e-13,0.03478776950105035,0.0044077861376537845,0.09179675582443592,0.031657692969135696,5.501090765361065e-13,0.04108939859271188,2.8200500292926755e-13,1.481487071069546e-13,0.0028091187252546517,5.107193919653842e-13,3.9093944128445654e-13,2.980035074304802e-13,2.6865042724154674e-13,3.0822674603218255e-12,1.5226513968576452e-12,7.112108414473619e-13,0.027998006183120944,1.3099924164475859e-13,1.2730065137605074e-13,3.0689345540002125e-12,2.594654314008615e-11,3.904877168424977e-13,2.0881772063525284e-13,3.375668288605335e-13,0.04665582268152179,0.04849811529155282,0.2999999999998507,0.038949025223949336,1.9459483892970774e-12,1.0869821567435272e-12,0.01844695368602686,0.02461893332436587,1.1175036583216646e-13,1.7073623983166514e-13,0.017940889777654945,0.017560749591166123,2.2908453088501582e-12
