date,ABEV3,ALPA4,BBAS3,BBDC3,BBDC4,BEEF3,BRAP4,BRFS3,BRKM5,CCRO3,CIEL3,CMIG4,CPFE3,CPLE6,CSAN3,CSNA3,CYRE3,DXCO3,EGIE3,ELET3,ELET6,EMBR3,ENEV3,ENGI11,EQTL3,EZTC3,FLRY3,GGBR4,GOAU4,HYPE3,ITSA4,ITUB4,JBSS3,LREN3,MRFG3,MRVE3,MULT3,PCAR3,PETR3,PETR4,PRIO3,RADL3,RENT3,SANB11,SBSP3,SLCE3,SMTO3,SUZB3,TAEE11,TIMS3,TOTS3,TRPL4,UGPA3,USIM5,VALE3,VIVT3,WEGE3,YDUQ3
2014-09-01,4,0,3,0,1,0,0,1,1,2,2,1,0,0,1,2,0,0,0,1,1,1,12,0,0,0,0,4,0,0,0,1,1,0,0,1,0,0,1,3,0,0,0,2,0,3,0,0,0,0,0,0,1,4,1,0,0,0
2014-10-01,5,0,5,0,2,0,0,1,0,2,2,1,0,0,0,2,0,0,0,2,2,1,5,0,0,0,1,6,0,0,0,1,1,0,0,0,0,0,1,7,0,0,0,3,0,0,0,0,1,0,0,0,0,6,1,0,0,0
2014-11-01,3,1,4,0,2,0,0,1,0,1,2,1,0,0,0,3,0,0,0,1,3,1,11,0,0,0,0,5,0,0,0,1,2,0,2,1,0,0,1,7,0,0,0,3,2,0,0,0,0,0,0,0,1,5,0,0,0,0
2014-12-01,3,0,4,0,2,0,0,1,0,2,2,1,1,0,0,4,0,0,0,1,3,1,7,0,0,0,0,6,0,0,0,1,2,0,2,0,0,0,2,9,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0
2015-01-01,3,0,4,0,2,0,1,2,0,2,2,1,0,0,1,5,0,0,0,1,3,2,3,0,0,3,0,7,0,0,0,1,2,0,2,1,0,0,2,11,0,0,0,2,3,0,0,0,0,0,0,0,1,7,1,0,0,0
2015-02-01,4,0,5,0,2,0,1,2,0,2,2,1,0,0,0,4,0,0,0,1,3,2,3,0,0,0,0,5,0,0,1,2,2,0,1,0,0,0,2,10,0,0,0,0,3,0,0,0,0,0,1,1,0,8,1,0,0,0
2015-03-01,4,1,4,1,4,0,1,2,4,2,2,2,0,0,1,5,1,0,0,1,3,1,5,0,0,2,0,8,1,6,0,2,2,0,2,1,0,0,1,8,0,1,2,2,0,0,0,0,1,0,0,0,1,8,1,0,1,0
2015-04-01,7,1,5,0,4,1,3,3,3,2,4,3,1,1,2,8,0,0,0,2,4,3,7,0,0,3,0,9,1,5,1,2,3,1,2,1,0,0,3,13,0,1,1,2,4,0,0,0,1,0,0,0,1,11,1,0,1,0
2015-05-01,9,1,6,1,4,1,2,2,3,3,4,3,1,0,3,10,2,0,0,4,6,4,10,0,0,4,0,10,3,2,1,3,5,1,5,2,0,0,4,11,0,1,2,3,3,0,0,0,1,0,1,1,2,16,2,0,1,0
2015-06-01,6,1,6,1,6,1,1,2,5,3,3,3,0,0,2,8,3,0,0,2,4,3,7,0,3,3,0,14,5,3,1,3,4,1,11,0,0,0,2,8,0,1,1,4,4,0,0,0,0,0,0,0,1,13,1,0,1,0
