IBOV - Carteira Mai. a Ago. 2024
C�digo;A��o;Tipo;Qtde. Te�rica;Part. (%);
ABEV3;AMBEV S/A;ON;4.394.245.879;2,553;
ALOS3;ALLOS;ON  ED  NM;532.616.595;0,525;
ALPA4;ALPARGATAS;PN      N1;166.362.038;0,076;
ARZZ3;AREZZO CO;ON      NM;62.305.891;0,154;
ASAI3;ASSAI;ON      NM;1.349.217.892;0,857;
AZUL4;AZUL;PN      N2;332.825.777;0,171;
B3SA3;B3;ON      NM;5.602.790.110;2,997;
BBAS3;BRASIL;ON      NM;2.842.247.534;3,767;
BBDC3;BRADESCO;ON  EJ  N1;1.489.259.656;0,874;
BBDC4;BRADESCO;PN  EJ  N1;5.135.772.281;3,324;
BBSE3;BBSEGURIDADE;ON      NM;671.750.768;1,036;
BEEF3;MINERVA;ON      NM;261.036.182;0,076;
BPAC11;BTGP BANCO;UNT     N2;1.150.645.866;1,909;
BRAP4;BRADESPAR;PN  ED  N1;250.992.819;0,238;
BRFS3;BRF SA;ON  ATZ NM;835.221.269;0,656;
BRKM5;BRASKEM;PNA     N1;265.877.867;0,288;
CCRO3;CCR SA;ON      NM;995.335.937;0,596;
CIEL3;CIELO;ON      NM;1.095.462.329;0,288;
CMIG4;CEMIG;PN  EDB N1;1.868.640.510;0,923;
CMIN3;CSNMINERACAO;ON      N2;1.110.559.345;0,270;
COGN3;COGNA ON;ON      NM;1.814.903.540;0,196;
CPFE3;CPFL ENERGIA;ON  ED  NM;187.732.538;0,292;
CPLE6;COPEL;PNB ED  N2;1.679.233.590;0,757;
CRFB3;CARREFOUR BR;ON      NM;533.990.587;0,284;
CSAN3;COSAN;ON  ATZ NM;1.168.966.848;0,809;
CSNA3;SID NACIONAL;ON;600.865.451;0,402;
CVCB3;CVC BRASIL;ON      NM;525.582.771;0,059;
CYRE3;CYRELA REALT;ON  ED  NM;265.784.616;0,272;
DXCO3;DEXCO;ON      NM;302.768.240;0,111;
EGIE3;ENGIE BRASIL;ON      NM;255.236.961;0,511;
