Date,ABEV3.SA,ALPA4.SA,BBAS3.SA,BBDC3.SA,BBDC4.SA,BEEF3.SA,BRAP4.SA,BRFS3.SA,BRKM5.SA,CCRO3.SA,CIEL3.SA,CMIG4.SA,CPFE3.SA,CPLE6.SA,CSAN3.SA,CSNA3.SA,CYRE3.SA,DXCO3.SA,EGIE3.SA,ELET3.SA,ELET6.SA,EMBR3.SA,ENEV3.SA,ENGI11.SA,EQTL3.SA,EZTC3.SA,FLRY3.SA,GGBR4.SA,GOAU4.SA,HYPE3.SA,ITSA4.SA,ITUB4.SA,JBSS3.SA,LREN3.SA,MRFG3.SA,MRVE3.SA,MULT3.SA,PCAR3.SA,PETR3.SA,PETR4.SA,PRIO3.SA,RADL3.SA,RENT3.SA,SANB11.SA,SBSP3.SA,SLCE3.SA,SMTO3.SA,SUZB3.SA,TAEE11.SA,TIMS3.SA,TOTS3.SA,TRPL4.SA,UGPA3.SA,USIM5.SA,VALE3.SA,VIVT3.SA,WEGE3.SA,YDUQ3.SA
2011-01-03 00:00:00,576145.0,194642.0,6626800,755323,10862336.0,392049.0,1915664,2683145,819800,3251200.0,3994446.0,3795963,746399,4048136,5361736.0,2411700,3020600,1459118.0,1152875.0,985960,685869.0,2072100,230421.0,1111.0,1104704.0,311060.0,323015.0,5084352,969900,4557400.0,12788121,10014663.0,3207300.0,3652542.0,1578851.0,2225933.0,690939.0,0.0,5064700,22738500,780000.0,1852760.0,4248486.0,1806045.0,1231800,249260.0,240600.0,0.0,0.0,783300.0,573992.0,588214,0.0,4978300,5107800,39700,2290288,825300.0
2011-01-04 00:00:00,328368.0,158178.0,7026600,1911718,11080374.0,203092.0,1700908,3060914,1366400,4426400.0,7311074.0,5521468,497176,4975397,8417741.0,4675000,2395200,2578180.0,1208625.0,1433960,1173688.0,1667500,149938.0,1333.0,775354.0,305744.0,1085910.0,8540658,1510500,7186500.0,14027968,12685182.0,4963500.0,4992814.0,1391087.0,4157180.0,2028115.0,0.0,10066400,30936600,280000.0,1044160.0,1833590.0,1798754.0,1357800,1339228.0,384900.0,0.0,0.0,772600.0,667398.0,775409,0.0,8482300,4104200,86400,2618824,663300.0
2011-01-05 00:00:00,299836.0,1123731.0,8229600,1277675,14632682.0,545512.0,3685121,3226372,1389800,3257600.0,5381932.0,5054813,773902,5427523,6526078.0,5889200,2095900,1729735.0,1146250.0,1751472,1449037.0,1138600,175579.0,111.0,467123.0,289114.0,394066.0,7782516,1577000,7748100.0,14111906,12143831.0,3143200.0,4642653.0,1473856.0,3704316.0,2639550.0,0.0,5502100,24306800,430000.0,956800.0,2829416.0,3161804.0,1506900,161656.0,104100.0,0.0,0.0,864400.0,476067.0,626540,0.0,8466600,3288400,48500,3096756,305100.0
2011-01-06 00:00:00,731319.0,3143418.0,8915800,650965,19405387.0,523444.0,1806117,3834101,1620000,5169200.0,8228169.0,4964468,898725,7113997,6828528.0,6174400,3511100,3086748.0,733625.0,2454743,1356620.0,1955600,85372.0,3333.0,955365.0,192470.0,434364.0,9346932,1544200,5194800.0,20882802,17066720.0,4066300.0,8026202.0,1908822.0,5728072.0,1309574.0,0.0,6889400,24328800,650000.0,640640.0,2329060.0,3167324.0,1038000,133584.0,261000.0,0.0,0.0,540200.0,705061.0,436117,0.0,8275700,2986900,6200,2873676,186300.0
2011-01-07 00:00:00,1090222.0,2143065.0,7306200,502890,12611972.0,174413.0,1073995,2127943,694100,3677600.0,8671686.0,3951639,721434,6233750,3912496.0,3736100,2780600,1538197.0,332750.0,790729,514352.0,654800,43215.0,1111.0,382649.0,167934.0,2323042.0,7266294,788900,2911100.0,15388641,15259728.0,3103200.0,3792741.0,1016764.0,5481895.0,670238.0,0.0,5344500,17453800,635000.0,568360.0,3783022.0,1981556.0,522000,115192.0,71700.0,0.0,0.0,173300.0,1413136.0,340502,0.0,8020900,2775200,14800,3000764,243000.0
2011-01-10 00:00:00,1038163.0,119549.0,7840400,1080242,15016003.0,109021.0,2029333,1384802,549000,1673200.0,3385903.0,7337692,641886,5305489,5481906.0,2737000,2103800,1159404.0,773500.0,862277,557206.0,1281100,161183.0,1111.0,509863.0,228865.0,260872.0,5417370,775900,3516400.0,14777001,10494522.0,1988100.0,6103670.0,752365.0,2184134.0,616835.0,0.0,5282900,14366200,1100000.0,274040.0,2032127.0,1477105.0,517500,287496.0,105300.0,0.0,0.0,636900.0,1250430.0,587407,0.0,4974200,2833200,3800,965328,566100.0
2011-01-11 00:00:00,1083214.0,706474.0,6900200,661401,12737968.0,496595.0,2979681,2529769,917900,5560400.0,6560797.0,3855321,814099,9501667,5578222.0,4033700,2434000,2044800.0,625125.0,1488496,1320174.0,2218500,103761.0,4555.0,1404890.0,315558.0,116438.0,6055434,1524500,4902700.0,21316185,12173918.0,2877300.0,7852463.0,963663.0,4203820.0,615635.0,0.0,6854100,23190100,1655000.0,3384680.0,3519586.0,1067336.0,1047900,487872.0,61200.0,0.0,0.0,884300.0,890366.0,1054186,0.0,6604100,2793300,27000,2217956,653100.0
2011-01-12 00:00:00,728817.0,8217777.0,6093200,1464390,15200086.0,185091.0,2828051,3171114,1141100,4786400.0,5916820.0,4709861,751053,12972642,4611912.0,4256500,2686900,2890925.0,580000.0,1506372,817100.0,2052600,180713.0,1111.0,1881065.0,209236.0,107742.0,7599816,970800,6545800.0,16059480,12297781.0,2748800.0,14700728.0,1214686.0,4199200.0,988556.0,0.0,8136700,39193500,2465000.0,530400.0,1678319.0,1512416.0,2182500,1786444.0,684300.0,0.0,0.0,327500.0,2502367.0,703194,0.0,6593000,4895100,8600,2109120,614700.0
2011-01-13 00:00:00,545111.0,4787473.0,6412000,1341982,12014261.0,186719.0,2300272,2330274,1488300,3990400.0,5469122.0,7039405,642521,8143286,8735494.0,2858800,3248200,3273466.0,513375.0,1783177,820800.0,1016100,142848.0,0.0,316276.0,90510.0,802555.0,5463486,1064800,3068100.0,10064344,8709272.0,2810100.0,7936314.0,1252400.0,2983274.0,787844.0,0.0,6285500,31826100,2910000.0,448760.0,2034569.0,1153165.0,693000,733744.0,96900.0,0.0,11700.0,399100.0,837637.0,758061,0.0,6238300,3285100,46100,2944656,427500.0
2011-01-14 00:00:00,566134.0,1842027.0,7726200,1929205,10839325.0,15153.0,963797,1702480,1505500,1386800.0,8012979.0,6510778,696893,8681437,3635701.0,1885100,2011300,1556940.0,364125.0,1458654,639200.0,3892300,148036.0,555.0,1015704.0,162618.0,361404.0,5425182,608300,2661300.0,17833878,11122182.0,2812100.0,7160861.0,811501.0,1755139.0,1095962.0,0.0,3167100,20220300,950000.0,452400.0,2105401.0,966196.0,519300,272976.0,55500.0,0.0,33000.0,383700.0,628228.0,757658,0.0,6335700,2793000,10300,2698592,459900.0
