Ticker,Nome,Negócios,Última (R$),Variação
AMER3,Americanas,266.887.800,"0,33","-19,51%"
RENT3,Localiza,83.037.400,"40,00","-16,84%"
HAPV3,Hapvida,73.002.500,"4,41","+0,00%"
COGN3,Cogna,64.493.200,"1,39","-2,11%"
ITUB4,Itaú Unibanco,54.181.500,"36,47","+2,47%"
BBDC4,Banco Bradesco,53.153.000,"15,01","+0,87%"
VALE3,Vale,51.582.400,"56,00","-0,92%"
IFCM3,Infracommerce,48.507.000,"0,29","-25,64%"
B3SA3,B3,44.359.900,"12,70","+0,47%"
PETR4,Petrobras,37.139.900,"37,76","+1,75%"
AZUL4,Azul,32.685.500,"7,75","+6,46%"
ITSA4,Itaúsa,32.684.200,"10,86","+2,07%"
CIEL3,Cielo,31.258.900,"5,81","+0,17%"
RAIZ4,Raízen,30.123.200,"3,25","-4,13%"
CMIG4,CEMIG,26.013.400,"11,97","+7,84%"
MGLU3,Magazine Luiza,25.406.700,"12,74","-4,14%"
MLAS3,Multilaser,24.335.800,"1,83","-15,28%"
JBSS3,JBS,22.500.400,"37,34","+6,99%"
ABEV3,Ambev,22.113.600,"12,56","-0,08%"
RDOR3,Rede D'Or,19.968.800,"30,73","+2,95%"
BBAS3,Banco do Brasil,19.353.700,"27,93","+1,67%"
ENEV3,Eneva,19.181.300,"13,47","+3,22%"
LREN3,Lojas Renner,17.275.500,"16,19","+3,12%"
MRVE3,MRV,16.785.100,"7,28","+3,26%"
CMIN3,CSN Mineração,16.450.000,"5,00","-4,58%"
LWSA3,Locaweb,15.739.900,"4,77","+0,42%"
CPLE6,Copel,15.702.400,"10,53","+1,25%"
NTCO3,Natura,15.265.200,"14,75","-1,21%"
ONCO3,Oncoclínicas,14.694.800,"6,30","-13,58%"
USIM5,Usiminas,13.221.900,"6,09","-2,56%"
RAIL3,Rumo,13.061.400,"23,38","+1,34%"
PCAR3,Grupo Pão de Açúcar,12.995.300,"3,20","+2,24%"
CVCB3,CVC,12.682.300,"1,91","-2,55%"
BRFS3,BRF,11.645.800,"23,51","+4,72%"
ASAI3,Assaí,11.240.400,"10,67","+1,81%"
RADL3,RaiaDrogasil,10.855.200,"30,00","+0,00%"
BEEF3,Minerva,10.817.500,"7,59","+1,61%"
PETR3,Petrobras,10.790.800,"40,98","+1,81%"
ANIM3,Ânima Educação,10.603.000,"3,27","-3,54%"
GGBR4,Gerdau,9.854.200,"17,40","-0,63%"
CSAN3,Cosan,9.278.400,"13,51","-1,46%"
PETZ3,Petz,9.084.600,"3,82","+0,79%"
CSNA3,Siderúrgica Nacional,8.742.300,"11,70","-4,02%"
PRIO3,PetroRio,8.594.400,"49,60","+0,96%"
EQTL3,Equatorial Energia,8.289.900,"35,46","+1,31%"
TIMS3,TIM,8.154.600,"18,10","+1,40%"
ALPA4,Alpargatas,7.788.700,"7,86","-2,60%"
BBDC3,Banco Bradesco,7.552.100,"13,39","+0,60%"
WEGE3,WEG,7.548.300,"51,54","+0,80%"
MRFG3,Marfrig,7.462.700,"12,83","+3,47%"
VVEO3,Viveo,7.388.600,"2,28","+8,57%"
VAMO3,Grupo Vamos,7.378.100,"8,32","-1,30%"
POMO4,Marcopolo,7.264.000,"6,94","-1,14%"
MOVI3,Movida,6.942.600,"7,37","-0,41%"
GOAU4,Metalúrgica Gerdau,6.816.400,"10,09","-0,30%"
VBBR3,Vibra Energia,6.805.300,"25,24","-0,24%"
ELET3,Eletrobras,6.792.600,"40,15","+0,90%"
SUZB3,Suzano,6.568.500,"54,70","+0,29%"
ALOS3,Allos,6.396.400,"23,65","+1,37%"
LJQQ3,Lojas Quero-Quero,6.333.700,"4,27","-3,39%"
CRFB3,Carrefour Brasil,6.314.500,"9,77","+0,31%"
STBP3,Santos Brasil,6.194.200,"14,10","+0,36%"
RRRP3,3R Petroleum,6.056.400,"29,58","-0,50%"
UGPA3,Ultrapar,5.738.500,"23,60","-1,34%"
EMBR3,Embraer,5.603.900,"43,94","+0,09%"
MULT3,Multiplan,5.400.200,"27,31","+1,86%"
BBSE3,BB Seguridade,5.342.400,"37,45","+0,86%"
AURE3,Auren Energia,5.337.300,"11,64","+0,17%"
VIVA3,Vivara,5.237.600,"27,10","+0,89%"
BHIA3,Casas Bahia,5.133.600,"5,10","-0,78%"
CCRO3,Grupo CCR,4.900.400,"13,52","+0,90%"
CPLE3,Copel,4.820.800,"9,53","+1,82%"
JFEN3,João Fortes,4.321.400,"0,25","-13,79%"
SEQL3,Sequoia Logística,4.301.200,"6,10","-26,33%"
TRPL4,Transmissão Paulista,4.147.300,"24,71","+0,57%"
SBSP3,Sabesp,4.129.800,"99,46","+1,38%"
HYPE3,Hypera,3.850.700,"31,65","+1,61%"
YDUQ3,YDUQS,3.805.400,"10,02","-1,18%"
CLSA3,ClearSale,3.788.200,"6,95","-10,67%"
AZEV4,Azevedo & Travassos,3.644.000,"1,40","-4,76%"
GFSA3,Gafisa,3.524.000,"2,88","-4,32%"
SMFT3,Smart Fit,3.520.900,"23,35","+1,30%"
SIMH3,Simpar,3.511.900,"6,54","-2,82%"
PDGR3,PDG Realty,3.390.900,"0,19","-9,52%"
TEND3,Construtora Tenda,3.388.500,"13,19","+0,84%"
FLRY3,Fleury,3.312.400,"15,59","+0,19%"
BRAP4,Bradespar,3.265.800,"18,06","-0,71%"
CYRE3,Cyrela,3.216.000,"21,63","+1,55%"
TOTS3,Totvs,2.939.600,"29,66","+1,26%"
CBAV3,CBA,2.898.800,"4,62","-5,33%"
SRNA3,Serena Energia,2.826.400,"9,04","-0,88%"
JHSF3,JHSF,2.791.100,"4,22","+1,20%"
ENJU3,Enjoei,2.648.200,"1,80","+5,26%"
SLCE3,SLC Agrícola,2.573.200,"18,20","-0,55%"
CEAB3,C&A,2.547.000,"8,84","-0,90%"
HBSA3,Hidrovias do Brasil,2.480.600,"3,70","+0,82%"
GOLL4,GOL,2.430.400,"1,15","+0,00%"
BRSR6,Banrisul,2.369.200,"12,36","+4,13%"
POSI3,Positivo,2.278.000,"7,18","-1,64%"
VIVT3,Vivo,2.241.300,"51,62","+1,18%"
ECOR3,EcoRodovias,2.224.700,"7,82","-1,14%"
AZZA3,Arezzo,2.137.500,"55,16","+1,49%"
BRKM5,Braskem,2.136.500,"16,55","-0,06%"
QUAL3,Qualicorp,2.109.200,"1,58","-3,07%"
AESB3,AES Brasil,2.100.800,"11,40","+0,00%"
GMAT3,Grupo Mateus,2.042.000,"8,06","+1,38%"
RECV3,PetroRecôncavo,2.019.200,"21,80","-0,27%"
DXCO3,Dexco,1.885.000,"7,65","-1,67%"
RAPT4,Randon,1.854.300,"11,06","+0,55%"
TTEN3,3tentos,1.772.600,"11,56","-0,34%"
CXSE3,Caixa Seguridade,1.756.100,"14,41","+1,26%"
PSSA3,Porto Seguro,1.715.700,"32,86","+0,06%"
IRBR3,IRB Brasil RE,1.648.100,"32,52","+1,98%"
ELET6,Eletrobras,1.611.200,"44,64","+0,95%"
CPFE3,CPFL Energia,1.597.200,"33,77","+0,96%"
KLBN4,Klabin,1.570.500,"4,18","+0,72%"
BPAN4,Banco Pan,1.447.700,"9,76","+0,00%"
SMTO3,São Martinho,1.420.300,"29,88","+1,63%"
EZTC3,EZTEC,1.414.400,"13,97","+0,87%"
ABCB4,Banco ABC Brasil,1.408.600,"22,69","+0,67%"
ZAMP3,Zamp,1.408.400,"3,31","-2,36%"
SBFG3,Grupo SBF,1.400.800,"16,68","-0,12%"
HBOR3,Helbor,1.396.900,"2,17","-5,65%"
EGIE3,Engie,1.353.500,"46,32","+1,16%"
AMBP3,Ambipar,1.343.100,"69,95","-11,46%"
DIRR3,Direcional,1.338.300,"28,99","+0,52%"
TRIS3,Trisul,1.289.300,"4,71","-1,88%"
CASH3,Méliuz,1.273.500,"6,40","+3,23%"
GUAR3,Guararapes,1.266.000,"8,79","-1,01%"
GGPS3,GPS,1.232.200,"17,85","-0,17%"
MILS3,Mills,1.217.400,"11,70","+3,17%"
ODPV3,Odontoprev,1.204.100,"11,66","-1,10%"
TUPY3,Tupy,1.187.400,"26,90","+4,30%"
SAPR4,Sanepar,1.131.300,"5,80","+0,69%"
MEAL3,IMC Alimentação,1.122.100,"1,65","-1,79%"
CSMG3,COPASA,1.104.800,"23,20","+1,00%"
LIGT3,Light,1.101.200,"4,85","+5,43%"
MATD3,Mater Dei,1.023.800,"4,44","-2,63%"
CURY3,Cury,1.015.000,"23,63","-0,55%"
DASA3,Dasa,1.007.100,"2,80","-2,44%"
NEOE3,Neoenergia,987.2,"19,38","+3,14%"
CAML3,Camil Alimentos,981.5,"9,99","+1,63%"
OPCT3,OceanPact,974.6,"6,55","-1,65%"
ETER3,Eternit,953.9,"6,06","+3,24%"
RANI3,Irani,921.1,"8,08","-0,25%"
PRNR3,Priner,907.2,"11,91","+4,66%"
EVEN3,Even,861.8,"6,47","-0,77%"
AERI3,Aeris Energy,834.7,"8,81","+5,13%"
CSED3,Cruzeiro do Sul Educacional,825,"3,94","+0,00%"
INTB3,Intelbras,822.5,"21,77","-0,27%"
GRND3,Grendene,767.8,"6,24","-0,32%"
LAVV3,Lavvi Incorporadora,764,"8,83","+2,44%"
MDIA3,M. Dias Branco,737.4,"28,95","+0,63%"
PLPL3,Plano&Plano,699.5,"12,20","-1,93%"
SOJA3,Boa Safra Sementes,682,"13,87","+3,97%"
BMGB4,Banco BMG,681.7,"3,65","+0,00%"
FESA4,Ferbasa,660.8,"8,08","+0,62%"
VLID3,Valid,653.5,"20,83","+3,89%"
KRSA3,Kora Saúde,641.9,"0,60","-9,09%"
JALL3,Jalles Machado,634.5,"6,79","-1,59%"
MTRE3,Mitre Realty,625.5,"3,90","+0,00%"
KEPL3,Kepler Weber,620,"11,41","+1,24%"
AZEV3,Azevedo & Travassos,611,"1,41","-6,00%"
MYPK3,Iochpe-Maxion,610.2,"11,51","+0,35%"
SEER3,Ser Educacional,607.7,"5,51","-0,36%"
LOGG3,LOG CP,603.6,"24,12","+1,01%"
PNVL3,Dimed,584.4,"10,91","+0,93%"
VULC3,Vulcabras,545,"17,87","+0,11%"
SHOW3,Time For Fun,524.9,"1,29","-1,53%"
BRIT3,Brisanet,512.8,"3,94","+0,25%"
AMAR3,Lojas Marisa,509.3,"1,30","-2,26%"
ITUB3,Itaú Unibanco,508.3,"31,31","+2,39%"
TASA4,Taurus,504.6,"11,01","-4,68%"
VITT3,Vittia,491.5,"5,99","-2,60%"
MDNE3,Moura Dubeux,491.2,"14,64","+0,62%"
CMIG3,CEMIG,476.8,"13,79","+8,24%"
TECN3,Technos,459.2,"5,88","-0,34%"
PINE4,Banco Pine,451.1,"4,67","+0,86%"
ARML3,Armac,447.3,"9,02","+0,56%"
MELK3,Melnick,445.3,"3,60","-2,17%"
NGRD3,Neogrid,436,"1,21","+0,00%"
USIM3,Usiminas,419.8,"5,94","-2,46%"
PGMN3,Pague Menos,409.9,"2,94","+0,00%"
TGMA3,Tegma,402.8,"25,56","+0,71%"
MBLY3,Mobly,392.9,"2,76","-1,08%"
PTBL3,Portobello,387.3,"4,68","-3,90%"
WIZC3,Wiz Soluções,383.3,"6,00","+1,69%"
JSLG3,JSL,376.9,"9,25","+2,55%"
KLBN3,Klabin,363.9,"4,20","+0,48%"
ESPA3,Espaçolaser,350,"1,02","+0,00%"
TFCO4,Track & Field,349.7,"12,25","-1,05%"
ORVR3,Orizon,348.1,"46,17","+1,16%"
FRAS3,Fras-le,339.5,"18,48","+0,05%"
LEVE3,Mahle Metal Leve,334.6,"33,69","+1,11%"
TAEE4,Taesa,298.5,"11,85","-0,25%"
SHUL4,Schulz,292.4,"6,54","+0,62%"
HBRE3,HBR Realty,292.2,"5,20","-2,07%"
FIQE3,Unifique,291.8,"3,79","-1,30%"
OIBR3,Oi,287,"4,30","-0,46%"
PORT3,Wilson Sons,260.6,"16,72","+0,42%"
BMOB3,Bemobi,252.5,"16,10","+3,21%"
UNIP6,Unipar,236.5,"49,06","-1,33%"
SAPR3,Sanepar,232.1,"5,42","+0,93%"
AGXY3,AgroGalaxy,231.5,"1,48","-2,63%"
AGRO3,BrasilAgro,230.4,"26,35","+1,07%"
RNEW4,Renova Energia,210.2,"0,89","+0,00%"
RCSL4,Recrusul,202.1,"0,85","-2,30%"
ITSA3,Itaúsa,201.9,"10,82","+1,79%"
POMO3,Marcopolo,187.5,"5,48","-1,44%"
ELMD3,Eletromidia,180.9,"18,80","+0,70%"
LPSB3,Lopes,171.6,"1,78","-1,66%"
SANB3,Banco Santander,165,"14,12","+1,80%"
SANB4,Banco Santander,163.7,"15,85","+3,26%"
DESK3,Desktop,151.8,"16,35","+1,62%"
BLAU3,Blau Farmacêutica,150.5,"11,93","-1,40%"
RCSL3,Recrusul,137.6,"2,91","-2,02%"
PFRM3,Profarma,130.3,"5,77","-3,35%"
ROMI3,Indústrias ROMI,120.5,"10,90","+0,74%"
TAEE3,Taesa,119.1,"11,76","+0,34%"
BRAP3,Bradespar,104.9,"17,57","+0,86%"
GOAU3,Metalúrgica Gerdau,103.2,"10,25","-0,77%"
DEXP3,Dexxos,100.6,"9,65","-2,13%"
VTRU3,VITRUBREPCOM,95.7,"10,99","-3,51%"
TCSA3,Tecnisa,94.7,"2,06","-0,96%"
BIOM3,Biomm,94.1,"8,69","-2,36%"
CSUD3,CSU Cardsystem,84.9,"18,85","+1,89%"
PMAM3,Paranapanema,84.9,"2,06","-3,29%"
GGBR3,Gerdau,78.3,"15,48","-0,45%"
INEP3,Inepar,76.4,"1,93","+1,58%"
ALPK3,Estapar,76.2,"3,94","+0,51%"
DEXP4,Dexxos,74.5,"9,19","-1,61%"
LUPA3,Lupatech,72.5,"1,63","+0,62%"
TPIS3,Triunfo,65.7,"4,30","-7,53%"
TRAD3,Traders Club,65.4,"3,70","+0,54%"
VIVR3,Viver,65.1,"2,53","-3,80%"
CTSA4,Santanense,63.9,"1,35","-2,17%"
SYNE3,SYN,62.3,"10,57","+1,15%"
CAMB3,Cambuci,58,"12,25","-1,53%"
ALLD3,Allied,57.6,"7,56","+1,89%"
ENGI4,Energisa,57,"8,45","+4,32%"
RNEW3,Renova Energia,46.7,"0,88","-1,12%"
EUCA4,Eucatex,46.4,"15,26","+0,99%"
DMVF3,D1000 Varejo Farma,45.9,"7,35","-1,74%"
IGTI3,Iguatemi,45.3,"2,96","+1,37%"
IGTI3,Jereissati Participações,45.3,"2,96","+1,37%"
TASA3,Taurus,42.8,"11,17","-3,71%"
LAND3,Terra Santa,40.6,"13,20","+0,08%"
AALR3,Alliança,36.6,"10,44","-0,48%"
UCAS3,Unicasa,36.1,"2,28","+3,17%"
RSID3,Rossi Residencial,33.7,"3,68","-1,87%"
RPMG3,Refinaria de Manguinhos,31.6,"2,64","-2,58%"
SCAR3,São Carlos,30.4,"23,41","-2,30%"
ALUP4,Alupar,26,"10,74","+2,68%"
NUTR3,Nutriplant,24.4,"5,26","+6,48%"
FHER3,Fertilizantes Heringer,23.6,"4,27","-1,16%"
LVTC3,WDC Networks,22.9,"3,85","-1,28%"
BRKM3,Braskem,21.8,"16,87","-1,06%"
BIOM11,BIOM11,21.8,"0,34","+13,33%"
BMEB4,Banco Mercantil do Brasil,20.4,"37,11","+3,66%"
ENGI3,Energisa,19.2,"14,55","+3,78%"
AVLL3,Alphaville,18.8,"4,20","+0,24%"
WEST3,Westwing,18.1,"0,93","-2,11%"
AMAR11,AMAR11,17.3,"0,76","+38,18%"
BOBR4,Bombril,16.1,"1,98","-1,98%"
EPAR3,Embpar Participações,16,"5,76","-2,87%"
BPAC3,Banco BTG Pactual,15.7,"16,41","-3,30%"
PDTC3,Padtec,15.2,"1,81","+0,00%"
BRSR3,Banrisul,13.8,"12,81","+3,31%"
LOGN3,Log-In,13.4,"35,82","-0,14%"
CEBR6,CEB,13.3,"17,51","-2,61%"
DOTZ3,Dotz,12.4,"5,51","-6,13%"
CSRN3,COSERN,12.3,"15,46","-2,58%"
EALT4,Electro Aço Altona,11.8,"14,14","+1,95%"
ALUP3,Alupar,10.6,"11,30","+2,73%"
SGPS3,Springs,10.5,"1,75","-2,78%"
BEES3,Banestes,10.4,"8,93","-0,11%"
RAPT3,Randon,10,"9,02","-1,53%"
COCE5,Coelce,9.7,"31,50","+0,93%"
ALPA3,Alpargatas,8.6,"7,86","+2,08%"
ATOM3,ATOM,8.5,"1,99","+2,05%"
CGRA4,Grazziotin,7.1,"25,21","-1,14%"
UNIP3,Unipar,6.7,"49,00","-0,61%"
CGRA3,Grazziotin,6.7,"24,80","-1,98%"
BEES4,Banestes,6.5,"9,93","-3,97%"
NINJ3,GetNinjas,6.5,"4,72","+0,00%"
CEBR5,CEB,6,"16,83","-0,36%"
NORD3,Nordon,6,"10,37","+32,95%"
INEP4,Inepar,6,"1,88","+0,53%"
CLSC4,Celesc,5.8,"74,66","-0,57%"
PTNT4,Pettenati,5.4,"6,03","+0,67%"
BAZA3,Banco da Amazônia,5.2,"96,01","+1,11%"
TELB4,Telebras,5.2,"9,46","-3,86%"
CEDO4,Cedro Têxtil,4.9,"23,79","-4,11%"
BPAC5,Banco BTG Pactual,4.9,"9,28","-0,43%"
RDNI3,RNI,4.8,"3,14","+1,29%"
TRPL3,Transmissão Paulista,4.4,"32,00","-0,37%"
MGEL4,Mangels,4.4,"12,20","-2,40%"
HAGA4,Haga,3.7,"1,17","+0,00%"
EMAE4,EMAE,3.2,"41,00","-1,20%"
DOHL4,Döhler,3.2,"4,19","-0,24%"
CGAS5,Comgás,3.1,"113,59","-2,71%"
EQPA3,Equatorial Energia Pará,3.1,"6,95","+0,43%"
HAGA3,Haga,3.1,"2,39","+0,84%"
VSTE3,LE LIS BLANC,2.9,"13,09","-2,68%"
WHRL4,Whirlpool,2.7,"4,46","-0,22%"
CTNM4,Coteminas,2.7,"0,88","-2,22%"
CEBR3,CEB,2.5,"19,45","-1,82%"
MTSA4,Metisa,2.4,"44,39","+4,45%"
REDE3,Rede Energia,2.4,"7,00","+0,72%"
CTSA3,Santanense,2.3,"2,85","-5,00%"
WHRL3,Whirlpool,2.2,"4,19","-0,95%"
BMEB3,Banco Mercantil do Brasil,1.8,"34,80","+3,88%"
CRPG5,Tronox Pigmentos,1.5,"28,80","-1,44%"
MNPR3,Minupar,1.5,"16,40","+0,12%"
EKTR4,Elektro,1.4,"41,80","-0,12%"
WLMM4,WLM,1.4,"32,00","-0,37%"
AZEV11,Azevedo & Travassos,1.4,"0,46","-16,36%"
UNIP5,Unipar,1.3,"49,50","-0,80%"
OIBR4,Oi,1.3,"12,14","-1,62%"
RSUL4,Metalúrgica Riosulense,1.2,"63,29","+1,59%"
EQMA3B,Equatorial Maranhão,1.2,"25,49","+0,35%"
OFSA3,Ourofino Saúde Animal,1.2,"22,37","+0,99%"
EALT3,Electro Aço Altona,1.1,"14,00","+0,00%"
EUCA3,Eucatex,900,"16,70","+0,00%"
PTNT3,Pettenati,900,"9,02","-0,44%"
CRPG6,Tronox Pigmentos,800,"29,59","+0,34%"
BSLI3,Banco de Brasília,800,"10,93","+9,08%"
SNSY3,Sansuy,700,"12,64","-1,17%"
PINE3,Banco Pine,600,"5,70","+0,88%"
OSXB3,OSX Brasil,600,"3,72","-0,27%"
RPAD6,Alfa Holdings,500,"8,73","-0,80%"
CGAS3,Comgás,400,"108,03","-6,78%"
GEPA4,Rio Paranapanema Energia,400,"26,44","-0,04%"
BALM4,Baumer,400,"10,49","+0,00%"
NEXP3,Brasil Brokers,400,"4,16","+2,97%"
PEAB3,Participações Aliança da Bahia,300,"43,00","+0,00%"
BGIP4,Banese,300,"24,00","-0,33%"
BDLL4,Bardella,300,"9,20","-4,17%"
PLAS3,Plascar,300,"5,50","+0,92%"
ATMP3,Atma,300,"1,60","-0,62%"
ENMT4,Energisa MT,200,"72,00","+4,35%"
BGIP3,Banese,200,"24,50","-2,00%"
CEED3,CEEE D,200,"13,00","+0,00%"
BSLI4,Banco de Brasília,200,"9,97","-0,70%"
ESTR4,Estrela,200,"2,07","-0,48%"
BNBR3,Banco do Nordeste,100,"101,50","+2,53%"
APER3,Alper,100,"46,33","+0,13%"
HBTS5,Habitasul,100,"40,20","+0,50%"
COCE3,Coelce,100,"33,00","+3,12%"
BRSR5,Banrisul,100,"17,00","+6,25%"
CTKA4,Karsten,100,"15,46","-3,38%"
TELB3,Telebras,100,"13,90","+1,83%"
CPLE5,Copel,100,"12,28","+0,00%"
HETA4,Hercules,100,"5,21","+0,00%"
BMKS3,Monark,39,"313,00","-0,03%"
SNSY5,Sansuy,11.1,"5,85","+1,92%"
CSRN5,COSERN,1,"18,50","+0,00%"
FESA3,Ferbasa,1,"14,18","+5,19%"
BAHI3,Bahema,900,"6,50","+0,00%"
HOOT4,Hotéis Othon,600,"2,38","-4,80%"
CEDO3,Cedro Têxtil,500,"26,10","+0,00%"
USIM6,Usiminas,400,"12,01","-14,21%"
AHEB3,São Paulo Turismo,200,"35,00","+0,00%"
CSRN6,COSERN,200,"16,66","+0,00%"
